,open,high,low,close,preclose,volume,amount,turn,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,10_days_beta,20_days_beta,30_days_beta,date
2022-11-01,10.3,10.48,10.16,10.47,10.19,25502058.0,262830468.17,3.6671,2.7478,122.053204,2.380582,0.305845,-1.278577,1.0278402641362956,1.0278402641362956,1.0278402641362956,2022-11-01
2022-11-02,10.45,11.05,10.36,10.96,10.47,38173342.0,412679907.98,5.4891,4.68,127.76534,2.491994,0.320159,-1.338414,1.5141853692789318,1.5141853692789318,1.5141853692789318,2022-11-02
2022-11-03,10.8,11.5,10.74,11.11,10.96,40089392.0,447835467.32,5.7647,1.3686,129.513954,2.5261,0.324541,-1.356732,1.4506656687426736,1.4506656687426736,1.4506656687426736,2022-11-03
2022-11-04,11.1,11.49,11.05,11.4,11.11,40140361.0,452858763.74,5.772,2.6103,132.894606,2.592037,0.333012,-1.392146,1.3815609187110869,1.3815609187110869,1.3815609187110869,2022-11-04
2022-11-07,11.41,11.81,11.34,11.69,11.4,33661418.0,390462277.09,4.8403,2.5439,136.275258,2.657975,0.341484,-1.427561,1.2759039185398209,1.2759039185398209,1.2759039185398209,2022-11-07
2022-11-08,11.85,12.8,11.57,12.01,11.69,58102835.0,703068027.69,8.3549,2.7374,140.005633,2.730734,0.350831,-1.466638,1.2217307129537671,1.2217307129537671,1.2217307129537671,2022-11-08
2022-11-09,12.0,12.77,11.93,12.16,12.01,54097762.0,669728309.29,7.779,1.249,141.754246,2.76484,0.355213,-1.484956,1.3676151535303267,1.3676151535303267,1.3676151535303267,2022-11-09
2022-11-10,11.98,12.16,11.72,11.78,12.16,40283008.0,478437861.94,5.7925,-3.125,137.324426,2.678439,0.344113,-1.438551,1.449739069883605,1.449739069883605,1.449739069883605,2022-11-10
2022-11-11,11.97,12.96,11.88,12.86,11.78,93899034.0,1174766872.05,13.5022,9.1681,149.914441,2.924,0.375661,-1.570439,1.3505935202366428,1.3505935202366428,1.3505935202366428,2022-11-11
2022-11-14,13.3,13.99,12.51,13.45,12.86,100143892.0,1320792848.59,14.4002,4.5879,156.79232,3.058149,0.392896,-1.642488,1.05162114305284,1.05162114305284,1.05162114305284,2022-11-14
2022-11-15,13.1,13.92,12.92,13.47,13.45,66636542.0,896197142.04,9.582,0.1487,157.025468,3.062697,0.39348,-1.644931,1.070537692905811,1.070537692905811,1.070537692905811,2022-11-15
2022-11-16,13.29,13.58,12.86,13.09,13.47,44973831.0,591514310.29,6.467,-2.8211,152.595648,2.976296,0.38238,-1.598526,1.2668848845566274,1.2668848845566274,1.2668848845566274,2022-11-16
2022-11-17,13.09,13.27,12.73,12.96,13.09,33015041.0,428947692.39,4.7474,-0.9931,151.080183,2.946737,0.378582,-1.582651,1.3340510522437758,1.3340510522437758,1.3340510522437758,2022-11-17
2022-11-18,12.97,13.08,12.61,12.67,12.96,34715415.0,445411419.89,4.9919,-2.2377,147.699531,2.8808,0.370111,-1.547236,2.0858148004864354,2.0858148004864354,2.0858148004864354,2022-11-18
